bdc,cik,accession,form,period_end,file_date,identifier,entity,company,type,sector,desc,affil,fv,cost,par,shares,mark,spread,rate,base_rate,pik_rate,pik,maturity,acq,ccy,fv_raw
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,MSI Express Inc. | First Lien Senior Secured Term Loan,MSI Express Inc. |,MSI Express Inc. |,First Lien,,,,2135000.0,2198000.0,2219000.0,,96.21,5.0,8.7,,,False,,,USD,2135000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,MSI Express Inc. | Revolver,MSI Express Inc. | Revolver,MSI Express Inc. | Revolver,,,,,1264000.0,1294000.0,1313000.0,,96.27,3.75,7.5,,,False,,,USD,1264000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,OG III B.V. | First Lien Senior Secured Term Loan,OG III B.V. |,OG III B.V. |,First Lien,,,,3464000.0,3713000.0,3620000.0,,95.69,5.65,7.9,,,False,,,USD,3464000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,Tank Holding Corp | First Lien Senior Secured Term Loan 1,Tank Holding Corp |,Tank Holding Corp |,First Lien,,,,7337000.0,7719000.0,7780000.0,,94.31,5.75,9.5,,,False,,,USD,7337000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,Tank Holding Corp | First Lien Senior Secured Term Loan 2,Tank Holding Corp |,Tank Holding Corp |,First Lien,,,,2835000.0,2957000.0,2994000.0,,94.69,6.0,9.7,,,False,,,USD,2835000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,Tank Holding Corp | Revolver,Tank Holding Corp | Revolver,Tank Holding Corp | Revolver,,,,,52000.0,96000.0,102000.0,,50.98,5.75,9.5,,,False,,,USD,52000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,WWEC Holdings III Corp | First Lien Senior Secured Term Loan,WWEC Holdings III Corp |,WWEC Holdings III Corp |,First Lien,,,,11986000.0,11914000.0,12034000.0,,99.6,5.25,9.0,,,False,,,USD,11986000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,WWEC Holdings III Corp | Revolver,WWEC Holdings III Corp | Revolver,WWEC Holdings III Corp | Revolver,,,,,-10000.0,-24000.0,0.0,,41.67,5.25,9.0,,,False,,,USD,-10000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,"CTS US Bidco, Inc. | First Lien Senior Secured Term Loan",CTS US Bidco,CTS US Bidco,First Lien,,,,3823000.0,3722000.0,3793000.0,,100.79,6.0,9.7,,,False,,,USD,3823000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,"Entact Environmental Services, Inc. | First Lien Senior Secured Term Loan",Entact Environmental Services,Entact Environmental Services,First Lien,,,,5980000.0,5969000.0,5980000.0,,100.0,5.5,9.2,,,False,,,USD,5980000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,"Northstar Recycling, LLC | First Lien Senior Secured Term Loan",Northstar Recycling,Northstar Recycling,First Lien,,,,12542000.0,12429000.0,12542000.0,,100.0,4.4,8.1,,,False,,,USD,12542000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,"Northstar Recycling, LLC | Revolver","Northstar Recycling, LLC | Revolver","Northstar Recycling, LLC | Revolver",,,,,0.0,-31000.0,0.0,,-0.0,4.4,8.1,,,False,,,USD,0.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,A.T. Holdings II LTD | First Lien Senior Secured Term Loan,A.T. Holdings II LTD |,A.T. Holdings II LTD |,First Lien,,,,7459000.0,11875000.0,14654000.0,,50.9,,1.9,,12.4,True,,,USD,7459000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,Amalfi Midco | Second Lien Senior Secured Term Loan,Amalfi Midco |,Amalfi Midco |,Second Lien,,,,384000.0,378000.0,384000.0,,100.0,,15.5,,,False,,,USD,384000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,Amalfi Midco | Subordinated Loan Notes,Amalfi Midco |,Amalfi Midco |,Subordinated,,,,3924000.0,3718000.0,4117000.0,,95.31,,2.0,,9.0,True,,,USD,3924000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,Astra Bidco Limited | First Lien Senior Secured Term Loan 1,Astra Bidco Limited |,Astra Bidco Limited |,First Lien,,,,437000.0,408000.0,437000.0,,100.0,5.0,7.2,,,False,,,USD,437000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,Astra Bidco Limited | First Lien Senior Secured Term Loan 2,Astra Bidco Limited |,Astra Bidco Limited |,First Lien,,,,2569000.0,2534000.0,2569000.0,,100.0,5.0,8.7,,,False,,,USD,2569000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,Avance Clinical Bidco Pty Ltd | First Lien Senior Secured Term Loan,Avance Clinical Bidco Pty Ltd |,Avance Clinical Bidco Pty Ltd |,First Lien,,,,1671000.0,1703000.0,1671000.0,,100.0,4.5,8.9,,,False,,,USD,1671000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,Canadian Orthodontic Partners Corp. | Super Senior Secured Term Loan,Canadian Orthodontic Partners Corp. | Super Senior Secured Term Loan,Canadian Orthodontic Partners Corp. | Super Senior Secured Term Loan,,,,,229000.0,79000.0,79000.0,,289.87,,17.0,,,False,,,USD,229000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,Canadian Orthodontic Partners Corp. | First Lien Senior Secured Term Loan,Canadian Orthodontic Partners Corp. |,Canadian Orthodontic Partners Corp. |,First Lien,,,,121000.0,1850000.0,2087000.0,,5.8,7.0,,,9.3,True,,,USD,121000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,Ceres Pharma NV | First Lien Senior Secured Term Loan 1,Ceres Pharma NV |,Ceres Pharma NV |,First Lien,,,,3525000.0,3314000.0,3540000.0,,99.58,6.0,8.5,,,False,,,USD,3525000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,Ceres Pharma NV | First Lien Senior Secured Term Loan 2,Ceres Pharma NV |,Ceres Pharma NV |,First Lien,,,,648000.0,649000.0,648000.0,,100.0,7.0,9.5,,,False,,,USD,648000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,"Coherus Biosciences, Inc. | First Lien Senior Secured Term Loan",Coherus Biosciences,Coherus Biosciences,First Lien,,,,3923000.0,3914000.0,3991000.0,,98.3,8.0,11.7,,,False,,,USD,3923000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,"Dane Street, LLC | First Lien Senior Secured Term Loan",Dane Street,Dane Street,First Lien,,,,1125000.0,1124000.0,1145000.0,,98.25,4.5,8.2,,,False,,,USD,1125000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,"Dane Street, LLC | Revolver","Dane Street, LLC | Revolver","Dane Street, LLC | Revolver",,,,,-5000.0,-5000.0,0.0,,100.0,4.5,8.2,,,False,,,USD,-5000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,EB Development | First Lien Senior Secured Term Loan 1,EB Development |,EB Development |,First Lien,,,,1972000.0,1808000.0,2012000.0,,98.01,5.0,7.3,,,False,,,USD,1972000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,EB Development | First Lien Senior Secured Term Loan 2,EB Development |,EB Development |,First Lien,,,,1527000.0,1558000.0,1558000.0,,98.01,5.25,9.0,,,False,,,USD,1527000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,Faraday | First Lien Senior Secured Term Loan,Faraday |,Faraday |,First Lien,,,,1741000.0,1635000.0,1741000.0,,100.0,6.1,8.4,,,False,,,USD,1741000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,Finexvet | First Lien Senior Secured Term Loan,Finexvet |,Finexvet |,First Lien,,,,4894000.0,5082000.0,5343000.0,,91.6,4.0,6.6,,,False,,,USD,4894000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,"Forest Buyer, LLC | First Lien Senior Secured Term Loan",Forest Buyer,Forest Buyer,First Lien,,,,5648000.0,5984000.0,6047000.0,,93.4,5.0,8.7,,,False,,,USD,5648000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,"Forest Buyer, LLC | Revolver","Forest Buyer, LLC | Revolver","Forest Buyer, LLC | Revolver",,,,,-20000.0,-5000.0,0.0,,400.0,5.0,8.7,,,False,,,USD,-20000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,GCDL LLC | First Lien Senior Secured Term Loan,GCDL LLC |,GCDL LLC |,First Lien,,,,612000.0,608000.0,612000.0,,100.0,6.0,9.7,,,False,,,USD,612000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,GCDL LLC | Revolver,GCDL LLC | Revolver,GCDL LLC | Revolver,,,,,0.0,-1000.0,0.0,,-0.0,6.0,9.7,,,False,,,USD,0.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,GPNZ II GmbH | First Lien Senior Secured Term Loan 1,GPNZ II GmbH |,GPNZ II GmbH |,First Lien,,,,0.0,444000.0,492000.0,,0.0,6.0,,,8.9,True,,,USD,0.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,GPNZ II GmbH | First Lien Senior Secured Term Loan 2,GPNZ II GmbH |,GPNZ II GmbH |,First Lien,,,,14000.0,551000.0,571000.0,,2.45,,,,10.0,True,,,USD,14000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,Groupe Product Life | First Lien Senior Secured Term Loan,Groupe Product Life |,Groupe Product Life |,First Lien,,,,410000.0,482000.0,540000.0,,75.93,5.75,8.0,,,False,,,USD,410000.0
