bdc,cik,accession,form,period_end,file_date,identifier,entity,company,type,sector,desc,affil,fv,cost,par,shares,mark,spread,rate,base_rate,pik_rate,pik,maturity,acq,ccy,fv_raw
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,"Investment | Non-Affiliated Issuer | Second Lien Debt | AQA Acquisition Holdings, Inc. | High Tech Industries","AQA Acquisition Holdings, Inc.","AQA Acquisition Holdings, Inc.",Second Lien,High Tech Industries,,,33365000.0,39587000.0,40000000.0,,84.28,6.25,9.92,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,"Investment | Non-Affiliated Issuer | Second Lien Debt | Associations, Inc. | Construction & Building 1","Associations, Inc.","Associations, Inc.",Second Lien,Construction & Building 1,,,7118000.0,7117000.0,7118000.0,,100.01,14.25,14.25,,100.0,True,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,"Investment | Non-Affiliated Issuer | Second Lien Debt | Associations, Inc. | Construction & Building 2","Associations, Inc.","Associations, Inc.",Second Lien,Construction & Building 2,,,2726000.0,2718000.0,2718000.0,,100.29,14.25,14.25,,100.0,True,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,"Investment | Non-Affiliated Issuer | Second Lien Debt | Bayside OPCP, LLC | Healthcare & Pharmaceuticals","Bayside OPCP, LLC","Bayside OPCP, LLC",Second Lien,Healthcare & Pharmaceuticals,,,6765000.0,6698000.0,6765000.0,,101.0,10.0,13.7,,100.0,True,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,"Investment | Non-Affiliated Issuer | Second Lien Debt | Denali Midco 2, LLC | Consumer Services","Denali Midco 2, LLC","Denali Midco 2, LLC",Second Lien,Consumer Services,,,3070000.0,3081000.0,3115000.0,,99.64,13.0,13.0,,100.0,True,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,"Investment | Non-Affiliated Issuer | Second Lien Debt | FPG Intermediate Holdco, LLC | Consumer Services","FPG Intermediate Holdco, LLC","FPG Intermediate Holdco, LLC",Second Lien,Consumer Services,,,37000.0,35000.0,37000.0,,105.71,5.0,8.68,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,"Investment | Non-Affiliated Issuer | Second Lien Debt | PAI Holdco, Inc. | Auto Aftermarket & Services","PAI Holdco, Inc.","PAI Holdco, Inc.",Second Lien,Auto Aftermarket & Services,,,13219000.0,14907000.0,15071000.0,,88.68,5.5,11.17,,2.0,True,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,Investment | Non-Affiliated Issuer | Second Lien Debt | TruGreen Limited Partnership | Consumer Services,TruGreen Limited Partnership,TruGreen Limited Partnership,Second Lien,Consumer Services,,,12025000.0,12888000.0,13000000.0,,93.3,8.5,12.17,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,Investment | Non-Affiliated Issuer | Equity Investments | 48Forty TopCo LLC | Transportation: Cargo 1,48Forty TopCo LLC,48Forty TopCo LLC,Equity,Transportation: Cargo 1,,,5636000.0,6511000.0,,1000.0,86.56,,,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,Investment | Non-Affiliated Issuer | Equity Investments | 48Forty TopCo LLC | Transportation: Cargo 2,48Forty TopCo LLC,48Forty TopCo LLC,Equity,Transportation: Cargo 2,,,0.0,0.0,,1000.0,,,,,,False,,,USD,
