bdc,cik,accession,form,period_end,file_date,identifier,entity,company,type,sector,desc,affil,fv,cost,par,shares,mark,spread,rate,base_rate,pik_rate,pik,maturity,acq,ccy,fv_raw
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Denali Midco 2, LLC | One stop 10 | Non-Affiliated Issuer","Denali Midco 2, LLC","Denali Midco 2, LLC",First Lien,,,,1075000.0,1074000.0,1075000.0,,100.0,5.5,9.14,,,False,,,USD,1075000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Denali Midco 2, LLC | One stop 11 | Non-Affiliated Issuer","Denali Midco 2, LLC","Denali Midco 2, LLC",First Lien,,,,887000.0,886000.0,887000.0,,100.0,5.5,9.14,,,False,,,USD,887000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Denali Midco 2, LLC | One stop 12 | Non-Affiliated Issuer","Denali Midco 2, LLC","Denali Midco 2, LLC",First Lien,,,,403000.0,400000.0,403000.0,,100.0,5.5,9.14,,,False,,,USD,403000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Denali Midco 2, LLC | One stop 13 | Non-Affiliated Issuer","Denali Midco 2, LLC","Denali Midco 2, LLC",First Lien,,,,348000.0,346000.0,348000.0,,100.0,5.5,9.14,,,False,,,USD,348000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Denali Midco 2, LLC | One stop 14 | Non-Affiliated Issuer","Denali Midco 2, LLC","Denali Midco 2, LLC",First Lien,,,,2886000.0,2877000.0,2886000.0,,100.0,5.5,9.14,,,False,,,USD,2886000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Denali Midco 2, LLC | One stop 15 | Non-Affiliated Issuer","Denali Midco 2, LLC","Denali Midco 2, LLC",First Lien,,,,295000.0,293000.0,295000.0,,100.0,5.5,9.14,,,False,,,USD,295000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Denali Midco 2, LLC | One stop 16 | Non-Affiliated Issuer","Denali Midco 2, LLC","Denali Midco 2, LLC",First Lien,,,,173000.0,172000.0,173000.0,,100.0,5.5,9.14,,,False,,,USD,173000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Denali Midco 2, LLC | One stop 17 | Non-Affiliated Issuer","Denali Midco 2, LLC","Denali Midco 2, LLC",First Lien,,,,0.0,-2000.0,0.0,,-0.0,,,,,False,,,USD,0.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Denali Midco 2, LLC | One stop 18 | Non-Affiliated Issuer","Denali Midco 2, LLC","Denali Midco 2, LLC",First Lien,,,,86000.0,86000.0,86000.0,,100.0,5.5,9.14,,,False,,,USD,86000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Denali Midco 2, LLC | Second lien | Non-Affiliated Issuer","Denali Midco 2, LLC","Denali Midco 2, LLC",Second Lien,,,,12649000.0,12708000.0,12776000.0,,99.01,,,,13.0,True,,,USD,12649000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"High Bar Brands Operating, LLC | Senior secured 1 | Non-Affiliated Issuer","High Bar Brands Operating, LLC","High Bar Brands Operating, LLC",First Lien,,,,28000.0,29000.0,30000.0,,93.33,5.25,8.98,,,False,,,USD,28000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"High Bar Brands Operating, LLC | Senior secured 2 | Non-Affiliated Issuer","High Bar Brands Operating, LLC","High Bar Brands Operating, LLC",First Lien,,,,246000.0,249000.0,249000.0,,98.8,5.25,8.98,,,False,,,USD,246000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"High Bar Brands Operating, LLC | Senior secured 3 | Non-Affiliated Issuer","High Bar Brands Operating, LLC","High Bar Brands Operating, LLC",First Lien,,,,1396000.0,1408000.0,1411000.0,,98.94,5.25,8.98,,,False,,,USD,1396000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"High Bar Brands Operating, LLC | Senior secured 4 | Non-Affiliated Issuer","High Bar Brands Operating, LLC","High Bar Brands Operating, LLC",First Lien,,,,291000.0,294000.0,294000.0,,98.98,5.25,8.98,,,False,,,USD,291000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Lincoln Acq Buyer, LLC | One stop 1 | Non-Affiliated Issuer","Lincoln Acq Buyer, LLC","Lincoln Acq Buyer, LLC",First Lien,,,,0.0,0.0,0.0,,,,,,,False,,,USD,0.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Lincoln Acq Buyer, LLC | One stop 2 | Non-Affiliated Issuer","Lincoln Acq Buyer, LLC","Lincoln Acq Buyer, LLC",First Lien,,,,280000.0,279000.0,280000.0,,100.0,4.5,8.23,,,False,,,USD,280000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Lincoln Acq Buyer, LLC | One stop 3 | Non-Affiliated Issuer","Lincoln Acq Buyer, LLC","Lincoln Acq Buyer, LLC",First Lien,,,,34000.0,34000.0,34000.0,,100.0,4.5,8.17,,,False,,,USD,34000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Lincoln Acq Buyer, LLC | One stop 4 | Non-Affiliated Issuer","Lincoln Acq Buyer, LLC","Lincoln Acq Buyer, LLC",First Lien,,,,11000.0,11000.0,11000.0,,100.0,4.5,8.17,,,False,,,USD,11000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Lincoln Acq Buyer, LLC | One stop 5 | Non-Affiliated Issuer","Lincoln Acq Buyer, LLC","Lincoln Acq Buyer, LLC",First Lien,,,,11000.0,11000.0,11000.0,,100.0,4.5,8.16,,,False,,,USD,11000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Lincoln Acq Buyer, LLC | One stop 6 | Non-Affiliated Issuer","Lincoln Acq Buyer, LLC","Lincoln Acq Buyer, LLC",First Lien,,,,7000.0,7000.0,7000.0,,100.0,4.5,8.18,,,False,,,USD,7000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Lincoln Acq Buyer, LLC | One stop 7 | Non-Affiliated Issuer","Lincoln Acq Buyer, LLC","Lincoln Acq Buyer, LLC",First Lien,,,,18000.0,18000.0,18000.0,,100.0,4.5,8.16,,,False,,,USD,18000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"MOP GM Holding, LLC | One stop 1 | Non-Affiliated Issuer","MOP GM Holding, LLC","MOP GM Holding, LLC",First Lien,,,,32616000.0,32907000.0,32946000.0,,99.0,6.25,6.38,,3.75,True,,,USD,32616000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"MOP GM Holding, LLC | One stop 2 | Non-Affiliated Issuer","MOP GM Holding, LLC","MOP GM Holding, LLC",First Lien,,,,3835000.0,3862000.0,3874000.0,,98.99,6.25,6.32,,3.75,True,,,USD,3835000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"MOP GM Holding, LLC | One stop 3 | Non-Affiliated Issuer","MOP GM Holding, LLC","MOP GM Holding, LLC",First Lien,,,,3554000.0,3587000.0,3591000.0,,98.97,6.25,6.31,,3.75,True,,,USD,3554000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"MOP GM Holding, LLC | One stop 4 | Non-Affiliated Issuer","MOP GM Holding, LLC","MOP GM Holding, LLC",First Lien,,,,3475000.0,3498000.0,3510000.0,,99.0,6.25,6.31,,3.75,True,,,USD,3475000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"MOP GM Holding, LLC | One stop 5 | Non-Affiliated Issuer","MOP GM Holding, LLC","MOP GM Holding, LLC",First Lien,,,,2600000.0,2617000.0,2625000.0,,99.05,6.25,6.38,,3.75,True,,,USD,2600000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"MOP GM Holding, LLC | One stop 6 | Non-Affiliated Issuer","MOP GM Holding, LLC","MOP GM Holding, LLC",First Lien,,,,2130000.0,2144000.0,2152000.0,,98.98,6.25,6.31,,3.75,True,,,USD,2130000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"MOP GM Holding, LLC | One stop 7 | Non-Affiliated Issuer","MOP GM Holding, LLC","MOP GM Holding, LLC",First Lien,,,,1958000.0,1970000.0,1977000.0,,99.04,6.25,6.31,,3.75,True,,,USD,1958000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"MOP GM Holding, LLC | One stop 8 | Non-Affiliated Issuer","MOP GM Holding, LLC","MOP GM Holding, LLC",First Lien,,,,719000.0,724000.0,727000.0,,98.9,6.25,6.38,,3.75,True,,,USD,719000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"MOP GM Holding, LLC | One stop 9 | Non-Affiliated Issuer","MOP GM Holding, LLC","MOP GM Holding, LLC",First Lien,,,,529000.0,532000.0,534000.0,,99.06,6.25,6.38,,3.75,True,,,USD,529000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"MOP GM Holding, LLC | One stop 10 | Non-Affiliated Issuer","MOP GM Holding, LLC","MOP GM Holding, LLC",First Lien,,,,404000.0,406000.0,408000.0,,99.02,6.25,6.37,,3.75,True,,,USD,404000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"MOP GM Holding, LLC | One stop 11 | Non-Affiliated Issuer","MOP GM Holding, LLC","MOP GM Holding, LLC",First Lien,,,,263000.0,264000.0,265000.0,,99.25,6.25,6.31,,3.75,True,,,USD,263000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"MOP GM Holding, LLC | One stop 12 | Non-Affiliated Issuer","MOP GM Holding, LLC","MOP GM Holding, LLC",First Lien,,,,201000.0,203000.0,203000.0,,99.01,6.25,6.38,,3.75,True,,,USD,201000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"MOP GM Holding, LLC | One stop 13 | Non-Affiliated Issuer","MOP GM Holding, LLC","MOP GM Holding, LLC",First Lien,,,,88000.0,89000.0,89000.0,,98.88,6.25,6.38,,3.75,True,,,USD,88000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"MOP GM Holding, LLC | One stop 14 | Non-Affiliated Issuer","MOP GM Holding, LLC","MOP GM Holding, LLC",First Lien,,,,88000.0,88000.0,88000.0,,100.0,6.25,6.31,,3.75,True,,,USD,88000.0
