bdc,cik,accession,form,period_end,file_date,identifier,entity,company,type,sector,desc,affil,fv,cost,par,shares,mark,spread,rate,base_rate,pik_rate,pik,maturity,acq,ccy,fv_raw
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Arcwood Environmental (fka Heritage Environmental Services Inc) | Commercial & Professional Services 3,Arcwood Environmental (fka Heritage Environmental Services Inc),Arcwood Environmental (fka Heritage Environmental Services Inc),,Commercial & Professional Services,,,7217134.916141557,7217134.916141557,7217134.916141557,,100.0,5.3,,,,False,,,USD,8000000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Area Wide Protective Inc | Commercial & Professional Services 1,Area Wide Protective Inc,Area Wide Protective Inc,,Commercial & Professional Services,,,12900628.662603032,12810414.476151261,12900628.662603032,,100.0,4.5,,,,False,,,USD,14300000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Area Wide Protective Inc | Commercial & Professional Services 2,Area Wide Protective Inc,Area Wide Protective Inc,,Commercial & Professional Services,,,10915916.560664104,10915916.560664104,10915916.560664104,,100.0,4.5,,,,False,,,USD,12100000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,ATX Networks Corp | Capital Goods 1,ATX Networks Corp,ATX Networks Corp,,Capital Goods,,,26071899.88456137,26071899.88456137,26071899.88456137,,100.0,6.0,,,,False,,,USD,28900000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,ATX Networks Corp | Capital Goods 2,ATX Networks Corp,ATX Networks Corp,,Capital Goods,,,65405285.17753285,85342620.3833739,88049045.97692698,,74.28,7.0,,,,False,,,USD,72500000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,AVE Holdings I Corp (fka Amerivet Partners Management Inc) | Health Care Equipment & Services 1,AVE Holdings I Corp (fka Amerivet Partners Management Inc),AVE Holdings I Corp (fka Amerivet Partners Management Inc),,Health Care Equipment & Services,,,,60082648.17687845,60263076.54978199,,,5.5,,,,False,,,USD,
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,AVE Holdings I Corp | Health Care Equipment & Services 1,AVE Holdings I Corp,AVE Holdings I Corp,,Health Care Equipment & Services,,,55211082.108482905,,,,,,,,,False,,,USD,61200000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,AVE Holdings I Corp (fka Amerivet Partners Management Inc) | Health Care Equipment & Services 2,AVE Holdings I Corp (fka Amerivet Partners Management Inc),AVE Holdings I Corp (fka Amerivet Partners Management Inc),,Health Care Equipment & Services,,,,7577991.661948634,7577991.661948634,,,5.5,,,,False,,,USD,
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Avetta LLC | Software & Services 1,Avetta LLC,Avetta LLC,,Software & Services,,,7577991.661948634,7487777.475496865,7577991.661948634,,100.0,4.2,,,0.0,False,,,USD,8400000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Avetta LLC | Software & Services 2,Avetta LLC,Avetta LLC,,Software & Services,,,1623855.35613185,1623855.35613185,1623855.35613185,,100.0,4.2,,,,False,,,USD,1800000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Avetta LLC | Software & Services 3,Avetta LLC,Avetta LLC,,Software & Services,,,721713.4916141556,721713.4916141556,721713.4916141556,,100.0,4.3,,,,False,,,USD,800000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Avetta LLC | Software & Services 4,Avetta LLC,Avetta LLC,,Software & Services,,,3337924.8987154695,3337924.8987154695,3337924.8987154695,,100.0,4.2,,,0.0,False,,,USD,3700000.0
