bdc,cik,accession,form,period_end,file_date,identifier,entity,company,type,sector,desc,affil,fv,cost,par,shares,mark,spread,rate,base_rate,pik_rate,pik,maturity,acq,ccy,fv_raw
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,Integral Energy Services | Common Stock,Integral Energy Services,Integral Energy Services,Common Equity,,,,280000.0,1356000.0,,9968.0,20.65,,,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Iron-Main Investments, LLC | Secured Debt 1","Iron-Main Investments, LLC","Iron-Main Investments, LLC",Secured Debt,,,,4502000.0,4502000.0,4514000.0,,100.0,,13.0,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Iron-Main Investments, LLC | Secured Debt 2","Iron-Main Investments, LLC","Iron-Main Investments, LLC",Secured Debt,,,,2932000.0,2932000.0,2940000.0,,100.0,,13.0,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Iron-Main Investments, LLC | Secured Debt 3","Iron-Main Investments, LLC","Iron-Main Investments, LLC",Secured Debt,,,,8944000.0,8944000.0,8944000.0,,100.0,,13.0,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Iron-Main Investments, LLC | Secured Debt 4","Iron-Main Investments, LLC","Iron-Main Investments, LLC",Secured Debt,,,,17369000.0,17369000.0,17417000.0,,100.0,,13.0,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Iron-Main Investments, LLC | Secured Debt 5","Iron-Main Investments, LLC","Iron-Main Investments, LLC",Secured Debt,,,,9088000.0,9088000.0,9202000.0,,100.0,,13.0,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Iron-Main Investments, LLC | Preferred Equity 1","Iron-Main Investments, LLC","Iron-Main Investments, LLC",Preferred Equity,,,,1100000.0,711000.0,,711.0,154.71,,25.0,,25.0,True,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Iron-Main Investments, LLC | Preferred Equity 2","Iron-Main Investments, LLC","Iron-Main Investments, LLC",Preferred Equity,,,,155000.0,155000.0,,155.0,100.0,,25.0,,25.0,True,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Iron-Main Investments, LLC | Common Stock","Iron-Main Investments, LLC","Iron-Main Investments, LLC",Common Equity,,,,2850000.0,2756000.0,,203016.0,103.41,,,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"ITA Holdings Group, LLC | Secured Debt 1","ITA Holdings Group, LLC","ITA Holdings Group, LLC",Secured Debt,,,,1180000.0,1174000.0,1180000.0,,100.51,7.0,10.84,,,False,,,USD,
