bdc,cik,accession,form,period_end,file_date,identifier,entity,company,type,sector,desc,affil,fv,cost,par,shares,mark,spread,rate,base_rate,pik_rate,pik,maturity,acq,ccy,fv_raw
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"PetVet Care Centers, LLC, Health Care Services, First Lien Term Loan","PetVet Care Centers, LLC","PetVet Care Centers, LLC",First Lien Term Loan,Health Care Services,,,46309000.0,50775000.0,51455000.0,,91.2,6.0,9.67,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"PetVet Care Centers, LLC, Health Care Services, First Lien Revolver","PetVet Care Centers, LLC","PetVet Care Centers, LLC",First Lien Revolver,Health Care Services,,,687000.0,1290000.0,1373000.0,,53.26,6.0,9.68,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"PetVet Care Centers, LLC, Health Care Services, Preferred Equity","PetVet Care Centers, LLC","PetVet Care Centers, LLC",Preferred Equity,Health Care Services,,,5145000.0,4440000.0,,4531.0,115.88,,,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"Phoenix Finance, Inc., Application Software, First Lien Term Loan","Phoenix Finance, Inc.","Phoenix Finance, Inc.",First Lien Term Loan,Application Software,,,5389000.0,5570000.0,5675000.0,,96.75,9.0,,,12.7,True,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"Phoenix Finance, Inc., Application Software, Second Lien Term Loan","Phoenix Finance, Inc.","Phoenix Finance, Inc.",Second Lien Term Loan,Application Software,,,9138000.0,10091000.0,10102000.0,,90.56,7.5,,,11.35,True,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"Pike Corporation, Construction & Engineering, First Lien Term Loan 1",Pike Corporation,Pike Corporation,First Lien Term Loan 1,Construction & Engineering,,,20117000.0,20117000.0,20117000.0,,100.0,4.5,8.18,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"Pike Corporation, Construction & Engineering, First Lien Term Loan 2",Pike Corporation,Pike Corporation,First Lien Term Loan 2,Construction & Engineering,,,0.0,10000.0,0.0,,0.0,4.5,,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"Pike Corporation, Construction & Engineering, First Lien Revolver",Pike Corporation,Pike Corporation,First Lien Revolver,Construction & Engineering,,,-24000.0,0.0,0.0,,,4.5,,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"Pluralsight, LLC, Application Software, First Lien Term Loan 1","Pluralsight, LLC","Pluralsight, LLC",First Lien Term Loan 1,Application Software,,,4969000.0,5050000.0,5050000.0,,98.4,4.5,6.67,,1.5,True,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"Pluralsight, LLC, Application Software, First Lien Term Loan 2","Pluralsight, LLC","Pluralsight, LLC",First Lien Term Loan 2,Application Software,,,8609000.0,8748000.0,8748000.0,,98.41,4.5,6.67,,1.5,True,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"Pluralsight, LLC, Application Software, First Lien Term Loan 3","Pluralsight, LLC","Pluralsight, LLC",First Lien Term Loan 3,Application Software,,,780000.0,14423000.0,15602000.0,,5.41,7.5,,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"Pluralsight, LLC, Application Software, First Lien Term Loan 4","Pluralsight, LLC","Pluralsight, LLC",First Lien Term Loan 4,Application Software,,,-99000.0,0.0,0.0,,,4.5,,,,False,,,USD,
