bdc,cik,accession,form,period_end,file_date,identifier,entity,company,type,sector,desc,affil,fv,cost,par,shares,mark,spread,rate,base_rate,pik_rate,pik,maturity,acq,ccy,fv_raw,sector_soi,affiliation_soi,investment_type_soi,base_rate_soi,maturity_soi,acq_soi,business_description,rate_floor_soi,footnotes,pct_net_assets_soi,interest_rate_soi,spread_soi,pik_rate_soi,gics_sector,gics_industry_group,type_canonical,common_name,legal_name
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,Royal Cup Inc. | Secured Debt 4,Royal Cup Inc.,Royal Cup Inc.,Secured Debt,,,,52596000.0,52430000.0,53167000.0,,98.93,5.25,8.93,,,False,,,USD,,Money market funds (included in cash and cash equivalents),Unaffiliated,Secured Debt,,2030-11-26,2025-11-26,Coffee Roaster and Beverage Solutions Provider,,,,8.98,,,Cash & Equivalents,Cash & Equivalents,First Lien,,Royal Cup Inc.
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,Royal Cup Inc. | Preferred Equity,Royal Cup Inc.,Royal Cup Inc.,Preferred Equity,,,,3807000.0,3807000.0,,3807144.0,100.0,,,,,False,,,USD,,,Unaffiliated,Preferred Equity,,,2025-11-26,Coffee Roaster and Beverage Solutions Provider,,,,,,,Consumer Staples,"Food, Beverage & Tobacco",Preferred Equity,,Royal Cup Inc.
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Rug Doctor, LLC. | Secured Debt 1","Rug Doctor, LLC.","Rug Doctor, LLC.",Secured Debt,,,,2821000.0,2820000.0,2821000.0,,100.0,5.5,9.17,,,False,,,USD,,,Unaffiliated,Secured Debt,,2028-05-16,2021-07-16,Carpet Cleaning Products and Machinery,,,,9.17,,,Industrials,Capital Goods,First Lien,,"Rug Doctor, LLC."
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Rug Doctor, LLC. | Secured Debt 2","Rug Doctor, LLC.","Rug Doctor, LLC.",Secured Debt,,,,6727000.0,6644000.0,6727000.0,,100.0,5.5,9.2,,,False,,,USD,,,Unaffiliated,Secured Debt,,2028-05-16,2021-07-16,Carpet Cleaning Products and Machinery,,,,9.2,,,Industrials,Capital Goods,First Lien,,"Rug Doctor, LLC."
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"South Coast Terminals Holdings, LLC | Secured Debt 1","South Coast Terminals Holdings, LLC","South Coast Terminals Holdings, LLC",Secured Debt,,,,0.0,0.0,0.0,,,5.25,,,,False,,,USD,,,,,,,,,,,,,,,Materials,Materials,First Lien,,"South Coast Terminals Holdings, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"South Coast Terminals Holdings, LLC | Secured Debt 2","South Coast Terminals Holdings, LLC","South Coast Terminals Holdings, LLC",Secured Debt,,,,63769000.0,63404000.0,63769000.0,,100.0,5.25,9.02,,,False,,,USD,,,Unaffiliated,Secured Debt,,2029-08-08,2024-08-08,Specialty Toll Chemical Manufacturer,,,,9.02,,,Materials,Materials,First Lien,,"South Coast Terminals Holdings, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"South Coast Terminals Holdings, LLC | Common Equity","South Coast Terminals Holdings, LLC","South Coast Terminals Holdings, LLC",Common Equity,,,,1013000.0,864000.0,,864.0,117.25,,,,,False,,,USD,,,Unaffiliated,Common Equity,,,2021-12-10,Specialty Toll Chemical Manufacturer,,,,,,,Materials,Materials,Common Equity,,"South Coast Terminals Holdings, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"SPAU Holdings, LLC | Secured Debt 1","SPAU Holdings, LLC","SPAU Holdings, LLC",Secured Debt,,,,1469000.0,1433000.0,1469000.0,,100.0,7.0,10.84,,,False,,,USD,,,Unaffiliated,Secured Debt,,2029-07-02,2022-07-01,Digital Photo Product Provider,,,,10.84,,,Information Technology,Software & Services,First Lien,,"SPAU Holdings, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"SPAU Holdings, LLC | Secured Debt 2","SPAU Holdings, LLC","SPAU Holdings, LLC",Secured Debt,,,,15369000.0,15192000.0,15369000.0,,100.0,7.0,10.85,,,False,,,USD,,,Unaffiliated,Secured Debt,,2029-07-02,2022-07-01,Digital Photo Product Provider,,,,10.85,,,Information Technology,Software & Services,First Lien,,"SPAU Holdings, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"SPAU Holdings, LLC | Common Stock","SPAU Holdings, LLC","SPAU Holdings, LLC",Common Equity,,,,630000.0,639000.0,,638710.0,98.59,,,,,False,,,USD,,,Unaffiliated,Common Stock,,,2022-07-01,Digital Photo Product Provider,,,,,,,Information Technology,Software & Services,Common Equity,,"SPAU Holdings, LLC"
