bdc,cik,accession,form,period_end,file_date,identifier,entity,company,type,sector,desc,affil,fv,cost,par,shares,mark,spread,rate,base_rate,pik_rate,pik,maturity,acq,ccy,fv_raw,sector_soi,affiliation_soi,investment_type_soi,base_rate_soi,maturity_soi,acq_soi,business_description,rate_floor_soi,footnotes,pct_net_assets_soi,interest_rate_soi,spread_soi,pik_rate_soi,gics_sector,gics_industry_group,type_canonical,common_name,legal_name
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Advanced Cooling Technologies, Inc. | One stop 1 | Non-Affiliated Issuer","Advanced Cooling Technologies, Inc.","Advanced Cooling Technologies, Inc.",First Lien,,,,416000.0,417000.0,418000.0,,99.52,4.5,8.14,,,False,,,USD,416000.0,Aerospace & Defense,Unaffiliated,One stop,,2033-05,,,,,,8.14,4.5,,Industrials,Capital Goods,First Lien,,"Advanced Cooling Technologies, Inc."
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"High Bar Brands Operating, LLC | Senior secured 1 | Non-Affiliated Issuer","High Bar Brands Operating, LLC","High Bar Brands Operating, LLC",First Lien,,,,1961000.0,1980000.0,1984000.0,,98.84,5.25,8.98,,,False,,,USD,1961000.0,Automobiles,Unaffiliated,Senior secured,,2029-12,,,,,,8.98,5.25,,Consumer Discretionary,Automobiles & Components,First Lien,,"High Bar Brands Operating, LLC"
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Lincoln Acq Buyer, LLC | One stop 1 | Non-Affiliated Issuer","Lincoln Acq Buyer, LLC","Lincoln Acq Buyer, LLC",First Lien,,,,0.0,0.0,0.0,,,,,,,False,,,USD,0.0,,,,,,,,,,,,,,Consumer Discretionary,Automobiles & Components,First Lien,,"Lincoln Acq Buyer, LLC"
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Lincoln Acq Buyer, LLC | One stop 2 | Non-Affiliated Issuer","Lincoln Acq Buyer, LLC","Lincoln Acq Buyer, LLC",First Lien,,,,361000.0,360000.0,361000.0,,100.0,4.5,8.23,,,False,,,USD,361000.0,Automobiles,Unaffiliated,One stop,,2032-11,,,,,,8.23,4.5,,Consumer Discretionary,Automobiles & Components,First Lien,,"Lincoln Acq Buyer, LLC"
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"MOP GM Holding, LLC | One stop 1 | Non-Affiliated Issuer","MOP GM Holding, LLC","MOP GM Holding, LLC",First Lien,,,,51820000.0,52247000.0,52344000.0,,99.0,6.25,6.38,,3.75,True,,,USD,51820000.0,Automobiles,Unaffiliated,One stop,,2027-11,,,,,0.9,6.38,6.25,,Consumer Discretionary,Automobiles & Components,First Lien,,"MOP GM Holding, LLC"
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"MOP GM Holding, LLC | One stop 11 | Non-Affiliated Issuer","MOP GM Holding, LLC","MOP GM Holding, LLC",First Lien,,,,640000.0,644000.0,645000.0,,99.22,6.25,6.31,,3.75,True,,,USD,640000.0,Automobiles,Unaffiliated,One stop,,2026-11,,,,,,10.21,5.75,,Consumer Discretionary,Automobiles & Components,First Lien,,"MOP GM Holding, LLC"
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"National Express Wash Parent Holdco, LLC | One stop 1 | Non-Affiliated Issuer","National Express Wash Parent Holdco, LLC","National Express Wash Parent Holdco, LLC",First Lien,,,,-7000.0,-10000.0,0.0,,70.0,,,,,False,,,USD,-7000.0,Automobiles,Unaffiliated,One stop,,2029-07,,,,,,,,,Consumer Discretionary,Automobiles & Components,First Lien,,"National Express Wash Parent Holdco, LLC"
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"National Express Wash Parent Holdco, LLC | One stop 2 | Non-Affiliated Issuer","National Express Wash Parent Holdco, LLC","National Express Wash Parent Holdco, LLC",First Lien,,,,19105000.0,19144000.0,19203000.0,,99.49,6.0,6.48,,3.25,True,,,USD,19105000.0,Automobiles,Unaffiliated,One stop,,2029-07,,,,,0.5,6.48,6.0,,Consumer Discretionary,Automobiles & Components,First Lien,,"National Express Wash Parent Holdco, LLC"
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"POY Holdings, LLC | One stop 1 | Non-Affiliated Issuer","POY Holdings, LLC","POY Holdings, LLC",First Lien,,,,35480000.0,37493000.0,37349000.0,,95.0,5.5,9.38,,,False,,,USD,35480000.0,Automobiles,Unaffiliated,One stop,,2029-05,,,,,0.7,9.38,5.5,,Consumer Discretionary,Automobiles & Components,First Lien,,"POY Holdings, LLC"
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"POY Holdings, LLC | One stop 8 | Non-Affiliated Issuer","POY Holdings, LLC","POY Holdings, LLC",First Lien,,,,0.0,-7000.0,0.0,,-0.0,,,,,False,,,USD,0.0,,,,,,,,,,,,,,Consumer Discretionary,Automobiles & Components,First Lien,,"POY Holdings, LLC"
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Quick Quack Car Wash Holdings, LLC | One stop 1 | Non-Affiliated Issuer","Quick Quack Car Wash Holdings, LLC","Quick Quack Car Wash Holdings, LLC",First Lien,,,,5839000.0,5803000.0,5839000.0,,100.0,5.0,8.64,,,False,,,USD,5839000.0,Automobiles,Unaffiliated,One stop,,2031-06,,,,,0.1,8.64,5.0,,Consumer Discretionary,Automobiles & Components,First Lien,,"Quick Quack Car Wash Holdings, LLC"
